"DATASET";"DOELGROEP";"SUBDOELGROEP";"CODE_EMISSIEOORZAAK";"EMISSIEOORZAAK";"COMPARTIMENT";"STOFCODE";"STOF";"EENHEID";1990;1995;2000;2005;2010;2013;2014;2015
"ER Reeks 1990-2014 Definitief";"Consumenten";"Energiegebruik Consumenten";"0012102";"Vuurhaarden consumenten, hoofdverwarming woningen";"Lucht";"103";"Arseenverb. (als As)";"kg";38.4;13.8;5.04;1.188;0.582;0.426;0.384;0.384
"ER Reeks 1990-2014 Definitief";"Handel, Diensten en Overheid (HDO)";"Energiegebruik en processen Handel, Diensten en Overheid (HDO)";"0020500";"Handel, diensten, overheid";"Lucht";"103";"Arseenverb. (als As)";"kg";1.56993;0.195546;0.00464681;0.326148;0.0594556;0.0321226;0.0327952;0.0327952
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100101";"Uitlaatgassen personenauto's benzine, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.511922;0.510681;0.451131;0.452124;0.42994;0.431909;0.432452;0.435405
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100102";"Uitlaatgassen personenauto's benzine, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.361811;0.475487;0.595686;0.655957;0.653234;0.649373;0.65286;0.656891
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100103";"Uitlaatgassen personenauto's benzine, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.368905;0.414126;0.442945;0.440687;0.455639;0.46273;0.460146;0.461497
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100201";"Uitlaatgassen personenauto's diesel, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0296537;0.0259028;0.0273186;0.03401;0.0383919;0.0382497;0.0372141;0.0366344
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100202";"Uitlaatgassen personenauto's diesel, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0483128;0.0537998;0.0884127;0.115665;0.133319;0.132079;0.129045;0.128377
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100203";"Uitlaatgassen personenauto's diesel, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0417887;0.0408005;0.0528006;0.0667921;0.061476;0.0595823;0.0589716;0.0586292
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100301";"Uitlaatgassen personenauto's LPG, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00627802;0.00370918;0.00248958;0.00154835;0.00127549;0.00104574;0.000958378;0.000891986
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100302";"Uitlaatgassen personenauto's LPG, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0113884;0.00929987;0.00847673;0.00501972;0.00403664;0.00316542;0.00281513;0.00258526
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100303";"Uitlaatgassen personenauto's LPG, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0118942;0.00805434;0.00640977;0.00387444;0.00323992;0.00273728;0.00252998;0.00238025
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100401";"Uitlaatgassen lichte bedrijfsvoertuigen benzine, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0363793;0.0206572;0.00641204;0.00310406;0.00169765;0.00118181;0.00117748;0.00114491
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100402";"Uitlaatgassen lichte bedrijfsvoertuigen benzine, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00800236;0.0118965;0.0102635;0.00463488;0.00273306;0.00198556;0.0019921;0.00193785
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100403";"Uitlaatgassen lichte bedrijfsvoertuigen benzine, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00933702;0.00813626;0.00561537;0.00286141;0.00162843;0.0011542;0.00115612;0.00112593
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100501";"Uitlaatgassen lichte bedrijfsvoertuigen diesel, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.030841;0.0300606;0.0233774;0.0291341;0.0287412;0.027236;0.0273802;0.0271684
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100502";"Uitlaatgassen lichte bedrijfsvoertuigen diesel, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0125449;0.0313628;0.0687149;0.0838742;0.0818256;0.0771879;0.0775753;0.0767954
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100503";"Uitlaatgassen lichte bedrijfsvoertuigen diesel, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0159684;0.0228413;0.0356536;0.0434981;0.0425803;0.0402561;0.0404683;0.0400494
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100601";"Uitlaatgassen lichte bedrijfsvoertuigen LPG, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.00055477;0.000361864;0.000199552;0.00014385;0.000110521;0.000112402;0.000118593;0.00011221
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100602";"Uitlaatgassen lichte bedrijfsvoertuigen LPG, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.000180753;0.000310286;0.000489739;0.000320527;0.000257214;0.000290862;0.000310649;0.000296997
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100603";"Uitlaatgassen lichte bedrijfsvoertuigen LPG, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.000293907;0.000281848;0.000317954;0.000220948;0.000176488;0.000185552;0.000196182;0.000185798
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100701";"Uitlaatgassen zware bedrijfsvoertuigen excl. autobussen, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0449989;0.0407645;0.031556;0.028446;0.0283383;0.0250556;0.0244236;0.0246949
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100702";"Uitlaatgassen zware bedrijfsvoertuigen excl. autobussen, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0709136;0.0908746;0.108979;0.109093;0.118039;0.107828;0.105906;0.106118
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100703";"Uitlaatgassen zware bedrijfsvoertuigen excl. autobussen, buitenweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.0479849;0.0450173;0.0391276;0.0389563;0.0415498;0.0375189;0.0367803;0.0369894
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100801";"Uitlaatgassen autobussen, bebouwde kom";"Lucht";"103";"Arseenverb. (als As)";"kg";0.000723667;0.000545248;0.000535988;0.000503312;0.000559973;0.000549538;0.000517747;0.000798086
"ER Reeks 1990-2014 Definitief";"Verkeer en vervoer";"Wegverkeer - uitlaatgassen";"0100802";"Uitlaatgassen autobussen, autosnelweg";"Lucht";"103";"Arseenverb. (als As)";"kg";0.000248181;0.000526693;0.000517747;0.000486183;0.000540916;0.000530837;0.000500128;0.00014259
